头实体,关系,尾实体,依据,文献,品种,关系数量
茶氨酸 ,促进,甜,"茶氨酸可缓解茶汤的苦涩味,增强甜味,提升茶氨酸含量对良好滋味的形成有重要意义。",四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
茶氨酸 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
茶板栗间作,促进,d -木糖和糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,d -苏糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,l -二糖醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,γ-氨基丁酸,GABA （γ-氨基丁酸）是一种非蛋白质氨基酸，是一种重要的生物活性茶叶成分，具有多种健康益处[25]，在间作样品中比单作样品上调1.62倍。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,氨基酸,80T栽培的板栗间作绿茶的多酚和氨基酸比值最低，间作保洪绿茶中氨基酸含量较高，多酚含量较低，导致茶多酚与氨基酸比值较低，特别是80 T样品,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,苯丙氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,丙氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,无影响,茶氨酸,茶氨酸的差异没有统计学意义，这表明间作对口感的改善并不依赖于茶氨酸。这里不否认茶氨酸在味觉中的作用，但这只是表明间作制度和纯茶园之间茶氨酸含量的微小差异。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,蛋氨酸,"在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,000 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,抑制,多酚,80T栽培的板栗间作绿茶的多酚和氨基酸比值最低，间作保洪绿茶中氨基酸含量较高，多酚含量较低，导致茶多酚与氨基酸比值较低，特别是80 T样品,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,抑制,酚氨比,80T栽培的板栗间作绿茶的多酚和氨基酸比值最低，间作保洪绿茶中氨基酸含量较高，多酚含量较低，导致茶多酚与氨基酸比值较低，特别是80 T样品。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,谷氨酸,"在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,003 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,谷氨酰胺,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,黄嘌呤酸,两种模式下间作样品的黄嘌呤酸（XA）含量均高于T处理样品，而犬尿酸（KA）含量均低于T处理样品,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,抑制,苦黄酮,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,利比醇,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,麦芽糖二糖,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,茉莉内酯,间作条件下，茉莉内酯、油酸和硬脂酰肉碱等脂质上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,尿囊酸,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作;与单作相比，间作中11种有机酸显著上调，7种显著下调。尿囊酸的偶联酸尿囊酸上调幅度最大（3.3倍）,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,2
茶板栗间作,促进,脯氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,芹菜素,黄酮类化合物仅在阳性模式下检测到；其中2个显著上调，4个显著下调。芹菜素增加1.76倍,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,抑制,犬尿酸,两种模式下间作样品的黄嘌呤酸（XA）含量均高于T处理样品，而犬尿酸（KA）含量均低于T处理样品,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,鼠李糖,间作条件下，鼠李糖、麦芽糖二糖、d -木糖和糖醇、利比醇、l -二糖醇、d -苏糖醇含量均上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,丝氨酸,间作的l -丙氨酸（Ala）、l -脯氨酸（Pro）、苯丙氨酸（Phe）、l -丝氨酸（Ser）和l -谷氨酰胺（Gln）含量明显高于单作。,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,苏氨酸,"在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,001 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,糖,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,糖醇,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,天冬氨酸,"在调高的促味氨基酸中，l -蛋氨酸（Met）、Pro、Ala、l -苏氨酸（Thr）和Ser是甜味化合物；谷氨酸（Glu）、谷氨酸（Gln）、l -天冬氨酸（Asn）和l -天冬氨酸（Asp）构成鲜味；苯丙氨酸和l -甘氨酸（Gly）产生花香[Yu and Yang综述][18]。Asn在间作中上调幅度最大（3.30倍）。值得注意的是，对口感贡献最大的氨基酸，如Glu、Asp和Gln，在间作体系中浓度均在10,002 nmol/g以上，为间作体系中生产优质绿茶提供了丰富的原料",Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,香气,板栗茶间作对保红绿茶的口感和香气有积极的影响，特别是对80年代种植的板栗茶有积极的影响,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,硬脂酰肉碱,间作条件下，茉莉内酯、油酸和硬脂酰肉碱等脂质上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶板栗间作,促进,油酸,套作中尿囊酸、糖、糖醇和油酸含量高于单作，苦黄酮含量低于单作;间作条件下，茉莉内酯、油酸和硬脂酰肉碱等脂质上调,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,2
茶板栗间作,促进,滋味,板栗茶间作对保红绿茶的口感和香气有积极的影响，特别是对80年代种植的板栗茶有积极的影响,Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,宝洪茶,1
茶多酚,促进,苦涩味,遮光后茶叶茶多酚、粗纤维含量减少，叶绿素、咖啡碱、氨基酸含量增加 ，茶叶的持嫩性增加、苦涩味减少、鲜爽度提高颜色要较对照绿，绿茶的品质得到提高;遮荫后，茶叶茶多酚、粗纤维含量减少，相比对照，茶多酚最高减少13.45%，粗纤维最多减少56.4%:叶绿素、咖啡碱、氨基酸含量增加，相比对照，三者的增加最大值分别为40.65%、18.80%和15.100%。故遮荫后茶叶的持嫩性增加、苦涩味减少、鲜爽度提高，颜色较对照绿，绿茶的品质得到提高。,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响;茶园遮荫栽培与茶叶品质相关性机理的研究,亚热带丘陵茶,2
茶杉复合栽培,促进,氨基酸,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,茶多酚,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,翠绿明亮,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,儿茶素,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,黄绿鲜活,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,促进,咖啡碱,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,栗香持久,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,抑制,色泽翠绿,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,促进,水浸出物,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
茶杉复合栽培,促进,叶绿素,茶杉复合茶园茶叶中氨基酸、叶绿素、咖啡碱和水浸出物的含量均不同程度高于单一茶园，儿茶素和茶多酚总量均低于单一茶园?茶杉复合茶园鲜叶制作的夏秋茶表现为外形色泽翠绿，汤色翠绿明亮，香味栗香持久，叶底黄绿鲜活，整体感官评价明显优于单一茶园,生境管理对亚热带丘陵茶园生态环境与茶叶品质的影响,亚热带丘陵茶,1
大豆间作茶树,促进,氨基酸,黄云英盛花期，大豆间作茶树的茶氨基酸和可溶性糖含量分别增加了6.89%和54.58%。,Leguminous green manure intercropping changes the soil microbial community and increases soil nutrients and key quality components of tea leaves,不明,1
大豆间作茶树,促进,可溶性糖,黄云英盛花期，大豆间作茶树的茶氨基酸和可溶性糖含量分别增加了6.89%和54.59%。,Leguminous green manure intercropping changes the soil microbial community and increases soil nutrients and key quality components of tea leaves,不明,1
单施有机肥,促进,氨基酸,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
单施有机肥,促进,茶多酚,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
单施有机肥,抑制,酚氨比,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
单施有机肥,促进,咖啡碱,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
单施有机肥,促进,水浸出物,单施有机肥和混施有机肥的茶叶中茶多酚、咖啡碱、氨基酸和水浸出物的含量均显著增加，酚氨比减小,不同有机肥处理对茶园土壤茶树生长及茶叶品质的影响,陕西茶,1
蛋氨酸 ,促进,甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
蛋白质,促进,鲜爽,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
短期遮阴,促进,叶绿素,一些作物遮荫后在较短期内叶绿素含量会增加,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶,1
儿茶素,促进,鲜爽,遮荫有利于茶树简单儿茶素的积累，‘福鼎大白茶’、‘三花1951’在遮蔽栽培后，苦涩味指数下降 17.99%、12.27%，对于春末绿茶出现“鲜爽”感官品质具有重要贡献,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,四川绿茶/通用,1
风速,抑制,酚氨比值,说明平均风速对绿茶品质形成有一定影响，平均风速＜1.5 m/s时样本的氨酚比更大。,湖北省绿茶气候品质综合指数模型研究,湖北绿茶,1
甘氨酸 ,促进,甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
干旱,促进,氨基酸,咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
干旱,抑制,氨基酸,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
干旱,抑制,茶多酚,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
干旱,抑制,蛋白质,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
干旱,促进,儿茶素,咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
干旱,促进,咖啡碱,咖啡因、氨基酸和茶多酚等物质是茶叶品质的重要组成部分，干旱胁迫下茶叶中的总游离氨基酸、咖啡碱、总儿茶素等含量减少,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
干旱,抑制,素咖啡碱,"在水分胁迫下,茶树叶片碳氮合成代谢会减弱,使氨基酸和蛋白质的合成遭受严重影响,干早会促使叶片老化,使茶树新梢中茶多酚、素咖啡碱等含量显著降低，导致茶叶的品质下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,先增后降,氨基酸,"叶片中氨基酸含量随温度( 35 ～ 40 ℃) 升高略有增加，而增
加量是由蛋白质和多肽在酶的催化下水解所得，之后随温度的
升高，氨基酸分解加快，积累量减少，同时高温影响根系对养分
的吸收，从而影响氨基酸的合成，使得氨基酸含量急剧下降。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,抑制,碳水化合物,"另外，高温下呼吸作用增强，可溶性碳水化合物被大量消耗，因降解量大于合成量，导致碳水化合物含量
呈下降趋势。",高温干旱对茶树生长和品质影响机理的研究进展,通用,1
高温,抑制,叶绿素,高温对光合作用的影响，一方面是通过降低叶绿素含量致使光合速率下降。叶绿素 a 和叶绿素总量随温度的升高均呈下降趋势,高温干旱对茶树生长和品质影响机理的研究进展,通用,1
谷氨酸 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
谷氨酰胺 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
光合辐照度,抑制,汤色,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,外形,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,香气,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,叶底,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
光合辐照度,抑制,滋味,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音,1
